Date:	7/16/2012																		
measured by:	Omer	 System:	ambient probe station																
Second round 16-7, approx 65 W, which is approx 1 sun. .4 I is the one with big grid spacing; .2 I is the the one with bigger area (dirty, fallen)																			
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4 I Dark	 	.4 I Light	 	.3 Dark	 	.3 Light	 	.2 I Dark	 	.2 I Light	 	.4 II Dark	 	.4 II Light	 	.2 II Dark	 	.2 II Light
-0.2500	-7.82E-6	-0.2500	-5.36E-3	-0.2500	-1.11E-5	-0.2500	-3.32E-3	-0.2500	-2.13E-6	-0.2500	-3.21E-3	-0.2500	-2.91E-6	-0.2500	-2.90E-3	-0.2500	-6.34E-6	-0.2500	-1.40E-3
-0.2400	-7.52E-6	-0.2400	-5.35E-3	-0.2400	-1.07E-5	-0.2400	-3.32E-3	-0.2400	-2.07E-6	-0.2400	-3.21E-3	-0.2400	-2.81E-6	-0.2400	-2.89E-3	-0.2400	-6.09E-6	-0.2400	-1.39E-3
-0.2300	-7.23E-6	-0.2300	-5.34E-3	-0.2300	-1.03E-5	-0.2300	-3.32E-3	-0.2300	-2.00E-6	-0.2300	-3.22E-3	-0.2300	-2.70E-6	-0.2300	-2.89E-3	-0.2300	-5.85E-6	-0.2300	-1.39E-3
-0.2200	-6.94E-6	-0.2200	-5.33E-3	-0.2200	-9.90E-6	-0.2200	-3.32E-3	-0.2200	-1.94E-6	-0.2200	-3.21E-3	-0.2200	-2.60E-6	-0.2200	-2.89E-3	-0.2200	-5.61E-6	-0.2200	-1.39E-3
-0.2100	-6.64E-6	-0.2100	-5.35E-3	-0.2100	-9.50E-6	-0.2100	-3.32E-3	-0.2100	-1.88E-6	-0.2100	-3.21E-3	-0.2100	-2.50E-6	-0.2100	-2.89E-3	-0.2100	-5.37E-6	-0.2100	-1.39E-3
-0.2000	-6.35E-6	-0.2000	-5.35E-3	-0.2000	-9.10E-6	-0.2000	-3.31E-3	-0.2000	-1.82E-6	-0.2000	-3.21E-3	-0.2000	-2.40E-6	-0.2000	-2.90E-3	-0.2000	-5.13E-6	-0.2000	-1.40E-3
-0.1900	-6.07E-6	-0.1900	-5.36E-3	-0.1900	-8.69E-6	-0.1900	-3.31E-3	-0.1900	-1.76E-6	-0.1900	-3.20E-3	-0.1900	-2.30E-6	-0.1900	-2.90E-3	-0.1900	-4.90E-6	-0.1900	-1.40E-3
-0.1800	-5.78E-6	-0.1800	-5.35E-3	-0.1800	-8.30E-6	-0.1800	-3.32E-3	-0.1800	-1.70E-6	-0.1800	-3.20E-3	-0.1800	-2.19E-6	-0.1800	-2.91E-3	-0.1800	-4.66E-6	-0.1800	-1.40E-3
-0.1700	-5.50E-6	-0.1700	-5.34E-3	-0.1700	-7.90E-6	-0.1700	-3.31E-3	-0.1700	-1.64E-6	-0.1700	-3.20E-3	-0.1700	-2.09E-6	-0.1700	-2.90E-3	-0.1700	-4.43E-6	-0.1700	-1.39E-3
-0.1600	-5.21E-6	-0.1600	-5.34E-3	-0.1600	-7.50E-6	-0.1600	-3.31E-3	-0.1600	-1.57E-6	-0.1600	-3.20E-3	-0.1600	-1.99E-6	-0.1600	-2.90E-3	-0.1600	-4.19E-6	-0.1600	-1.39E-3
