Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
0.4800	1.31E-3	0.4800	2.55E-5	0.4800	2.99E-3	0.4800	1.02E-5	0.4800	4.66E-6
0.4900	1.42E-3	0.4900	2.98E-5	0.4900	3.10E-3	0.4900	1.37E-5	0.4900	5.47E-6
0.5000	1.53E-3	0.5000	3.47E-5	0.5000	3.21E-3	0.5000	1.69E-5	0.5000	6.40E-6
0.5100	1.65E-3	0.5100	4.02E-5	0.5100	3.32E-3	0.5100	2.00E-5	0.5100	7.43E-6
0.5200	1.77E-3	0.5200	4.64E-5	0.5200	3.43E-3	0.5200	2.32E-5	0.5200	8.61E-6
0.5300	1.89E-3	0.5300	5.35E-5	0.5300	3.55E-3	0.5300	2.67E-5	0.5300	9.97E-6
0.5400	2.02E-3	0.5400	6.14E-5	0.5400	3.66E-3	0.5400	3.03E-5	0.5400	1.15E-5
0.5500	2.15E-3	0.5500	7.03E-5	0.5500	3.77E-3	0.5500	3.42E-5	0.5500	1.33E-5
0.5600	2.28E-3	0.5600	8.04E-5	0.5600	3.89E-3	0.5600	3.86E-5	0.5600	1.54E-5
0.5700	2.41E-3	0.5700	9.16E-5	0.5700	4.00E-3	0.5700	4.33E-5	0.5700	1.76E-5
0.5800	2.54E-3	0.5800	1.04E-4	0.5800	4.12E-3	0.5800	4.85E-5	0.5800	2.02E-5
0.5900	2.68E-3	0.5900	1.18E-4	0.5900	4.23E-3	0.5900	5.44E-5	0.5900	2.32E-5
0.6000	2.82E-3	0.6000	1.33E-4	0.6000	4.35E-3	0.6000	6.09E-5	0.6000	2.65E-5
0.6100	2.96E-3	0.6100	1.50E-4	0.6100	4.47E-3	0.6100	6.82E-5	0.6100	3.02E-5
0.6200	3.11E-3	0.6200	1.69E-4	0.6200	4.59E-3	0.6200	7.64E-5	0.6200	3.43E-5
0.6300	3.25E-3	0.6300	1.90E-4	0.6300	4.71E-3	0.6300	8.54E-5	0.6300	3.89E-5
0.6400	3.40E-3	0.6400	2.13E-4	0.6400	4.83E-3	0.6400	9.56E-5	0.6400	4.41E-5
0.6500	3.55E-3	0.6500	2.37E-4	0.6500	4.95E-3	0.6500	1.07E-4	0.6500	4.99E-5
0.6600	3.70E-3	0.6600	2.64E-4	0.6600	5.07E-3	0.6600	1.20E-4	0.6600	5.63E-5
0.6700	3.85E-3	0.6700	2.94E-4	0.6700	5.20E-3	0.6700	1.34E-4	0.6700	6.34E-5
0.6800	4.01E-3	0.6800	3.25E-4	0.6800	5.32E-3	0.6800	1.50E-4	0.6800	7.12E-5
0.6900	4.17E-3	0.6900	3.59E-4	0.6900	5.45E-3	0.6900	1.68E-4	0.6900	7.98E-5
0.7000	4.33E-3	0.7000	3.96E-4	0.7000	5.58E-3	0.7000	1.88E-4	0.7000	8.93E-5
0.7100	4.49E-3	0.7100	4.35E-4	0.7100	5.70E-3	0.7100	2.10E-4	0.7100	9.97E-5
0.7200	4.65E-3	0.7200	4.77E-4	0.7200	5.84E-3	0.7200	2.35E-4	0.7200	1.11E-4
0.7300	4.82E-3	0.7300	5.21E-4	0.7300	5.97E-3	0.7300	2.63E-4	0.7300	1.23E-4
0.7400	4.98E-3	0.7400	5.68E-4	0.7400	6.10E-3	0.7400	2.93E-4	0.7400	1.37E-4
0.7500	5.15E-3	0.7500	6.17E-4	0.7500	6.24E-3	0.7500	3.26E-4	0.7500	1.51E-4
0.7600	5.33E-3	0.7600	6.69E-4	0.7600	6.37E-3	0.7600	3.63E-4	0.7600	1.67E-4
0.7700	5.50E-3	0.7700	7.23E-4	0.7700	6.51E-3	0.7700	4.03E-4	0.7700	1.83E-4
0.7800	5.68E-3	0.7800	7.80E-4	0.7800	6.65E-3	0.7800	4.46E-4	0.7800	2.01E-4
0.7900	5.86E-3	0.7900	8.39E-4	0.7900	6.79E-3	0.7900	4.94E-4	0.7900	2.21E-4
0.8000	6.04E-3	0.8000	8.99E-4	0.8000	6.94E-3	0.8000	5.45E-4	0.8000	2.41E-4
0.8100	6.22E-3	0.8100	9.62E-4	0.8100	7.08E-3	0.8100	6.00E-4	0.8100	2.63E-4
0.8200	6.41E-3	0.8200	1.03E-3	0.8200	7.23E-3	0.8200	6.59E-4	0.8200	2.86E-4
0.8300	6.59E-3	0.8300	1.09E-3	0.8300	7.38E-3	0.8300	7.23E-4	0.8300	3.10E-4
0.8400	6.78E-3	0.8400	1.16E-3	0.8400	7.53E-3	0.8400	7.91E-4	0.8400	3.35E-4
0.8500	6.97E-3	0.8500	1.23E-3	0.8500	7.69E-3	0.8500	8.63E-4	0.8500	3.62E-4
0.8600	7.17E-3	0.8600	1.30E-3	0.8600	7.84E-3	0.8600	9.39E-4	0.8600	3.90E-4
